"city","population","confirmed","deaths","death_rate","last_date"
"Abadia dos Dourados","6989","109","1","0.0092","2020-12-10"
"AbaetÃ©","23237","164","4","0.0244","2020-12-10"
"Abre Campo","13454","157","1","0.0064","2020-12-10"
"Acaiaca","3994","75","3","0.04","2020-12-10"
"Aguanil","4486","97","3","0.0309","2020-12-10"
"AimorÃ©s","25167","552","8","0.0145","2020-12-10"
"Aiuruoca","6003","25","4","0.16","2020-12-10"
"Alagoa","2674","63","0","0","2020-12-10"
"Albertina","3007","52","5","0.0962","2020-12-10"
"Alfenas","79996","2330","63","0.027","2020-12-10"
"Alfredo Vasconcelos","6907","34","1","0.0294","2020-12-10"
"Almenara","41896","1064","13","0.0122","2020-12-10"
"Alpercata","7424","250","8","0.032","2020-12-10"
"AlpinÃ³polis","19853","149","5","0.0336","2020-12-10"
"Alterosa","14466","30","2","0.0667","2020-12-10"
"Alto CaparaÃ³","5847","144","3","0.0208","2020-12-10"
"Alto JequitibÃ¡","8317","203","5","0.0246","2020-12-10"
"Alto Rio Doce","11000","108","2","0.0185","2020-12-10"
"Alvarenga","3907","145","1","0.0069","2020-12-10"
"AlvinÃ³polis","15203","107","1","0.0093","2020-12-10"
"Alvorada de Minas","3606","60","1","0.0167","2020-12-10"
"AlÃ©m ParaÃ­ba","35362","708","20","0.0282","2020-12-10"
"Amparo do Serra","4713","39","1","0.0256","2020-12-10"
"Andradas","41077","600","19","0.0317","2020-12-10"
"AndrelÃ¢ndia","12224","109","1","0.0092","2020-12-10"
"AngelÃ¢ndia","8520","19","0","0","2020-12-10"
"AntÃ´nio Carlos","11445","82","2","0.0244","2020-12-10"
"AntÃ´nio Dias","9318","127","3","0.0236","2020-12-10"
"AntÃ´nio Prado de Minas","1598","100","1","0.01","2020-12-10"
"Aracitaba","2063","53","2","0.0377","2020-12-10"
"Araguari","117267","4879","109","0.0223","2020-12-10"
"Arantina","2795","23","2","0.087","2020-12-10"
"Araponga","8439","25","0","0","2020-12-10"
"AraporÃ£","6869","1008","10","0.0099","2020-12-10"
"ArapuÃ¡","2834","42","0","0","2020-12-10"
"AraxÃ¡","106229","3067","41","0.0134","2020-12-10"
"AraÃ§aÃ­","2347","5","0","0","2020-12-10"
"AraÃ§uaÃ­","36708","165","4","0.0242","2020-12-10"
"AraÃºjos","9273","112","1","0.0089","2020-12-10"
"Arceburgo","10772","157","3","0.0191","2020-12-10"
"Arcos","40092","720","16","0.0222","2020-12-10"
"Areado","15070","28","3","0.1071","2020-12-10"
"Argirita","2727","94","3","0.0319","2020-12-10"
"Aricanduva","5231","8","0","0","2020-12-10"
"Arinos","17875","149","3","0.0201","2020-12-10"
"Astolfo Dutra","14179","476","5","0.0105","2020-12-10"
"AtalÃ©ia","12868","223","4","0.0179","2020-12-10"
"Augusto de Lima","4869","63","0","0","2020-12-10"
"AÃ§ucena","9470","143","5","0.035","2020-12-10"
